不 bu
与 yu
丧 sang
么 me
亀 gui,jun
了 le,liao
亲 qin,qing
什 shen,she
仔 zi,zai
令 ling
价 jia
伯 bo,bai
伽 jia,ga
体 ti
作 zuo
侗 dong,tong
侥 jiao,yao
侧 ce
俊 jun
俾 bi
傭 yong
共 gong
凸 tu,gu
划 hua,huai
削 xue,xiao
剖 pou
剿 jiao,chao
勺 shao,shuo
匹 pi
华 hua
单 dan,chan,shan
卷 juan,quan
厂 chang
参 can,cen
參 can,cen
叅 can
叉 cha
叨 dao
召 zhao
吁 yu
吗 ma
呐 na
员 yuan
呢 ne
呱 gua
呵 he,ke
咊 he
咋 za
和 he,huo
咧 lie
咯 ge
咱 zan,za
咳 ke
咽 yan
哄 hong
哈 ha
哎 ai
哗 hua,ye
員 yuan
哦 o
哩 li
哪 na
唔 wu
啊 a
喀 ka,ke
喇 la
單 dan,chan
喷 pen
嗯 ng,n
嘎 ga
嘔 ou
嘜 ma
嘩 hua
嘬 zuo
嘿 hei
嚄 huo
嚼 jiao,jue
圈 quan,juan
圏 quan,juan
圕 tu,shu
场 chang
坏 huai
垸 huan,yuan
埔 pu,bu
埤 pi,bei
堋 peng,beng
堡 bao,bu
塞 sai,se
夹 jia
契 qi,qie
娠 shen,chen
嬛 huan
子 zi
家 jia
宿 su,xiu
射 she
将 jiang
將 jiang
尿 niao
峤 jiao,qiao
嵌 qian
差 cha,chai
帖 tie
度 du,duo
強 qiang,jiang
强 qiang,jiang
得 de,dei
從 cong
徼 jiao
忒 te,tei
恁 nen
恶 e,wu
悪 e,wu
惡 e,wu
戧 chuang,qiang
扎 zha
扒 ba,pa
折 zhe,she
抹 mo,ma
担 dan
拉 la
拗 ao,niu
拧 ning
拽 zhuai
指 zhi
挲 suo
挾 xie
掖 ye
掸 dan,shan
掺 chan,can
提 ti,di
揣 chuai
搶 qiang,chuang
撂 liao
撣 dan,shan
撩 liao
撮 cuo,zuo
擂 lei
擔 dan
攪 jiao
散 san
数 shu,shuo
數 shu,shuo
斉 qi,ji
斊 qi,ji
於 wu,yu
晁 chao,zhao
晢 zhe
曳 ye,zhuai
會 hui,kuai
期 qi,ji
朴 po,pu
枸 gou,ju
柁 tuo,duo
柏 bo,bai
棱 leng,ling
椹 shen,zhen
槭 qi
樸 pu,po
檜 gui,hui
欸 e,ai
歙 she,xi
殷 yin,yan
殼 ke,qiao
沓 ta,da
沮 ju
泊 bo,po
混 hun
湫 qiu,jia
漂 piao
漆 qi,qu
潦 liao,lao
澠 min,mian
炮 pao,bao
焯 zhuo,chao
燎 liao
燾 dao,tao
爿 pan,qiang
狢 he,hao
率 lv,shuai
甚 shen,she
疋 pi,shu
瘅 dan
癉 dan
的 de,di
着 zhe,zhuo
瞿 ju,qu
矜 jin,qin
矫 jiao,jia
矯 jiao,jia
矲 bai,pai
磅 bang,pang
祇 zhi,qi
种 zhong,chong
秘 mi,bi
秤 cheng,chen
称 cheng,chen
種 zhong,chong
稱 cheng,chen
穪 cheng,chen
竍 shi,gong
竏 qian,gong
竓 qian,fen
竕 shi,fen
竡 yi,gong
籲 xu,yu
糊 hu
累 lei
綈 ti,di
綜 zong,zeng
綮 qi,qing
綳 beng
緝 ji,qi
繆 mou,miu
繇 zhou,yao
繳 jiao,jia
绕 rao
绨 ti,di
绰 chuo,chao
绷 beng
缪 mou,miu
缲 sao,zao
缴 jiao,jia
罗 luo
罷 ba,pi
肋 lei,le
胳 ge,ga
脚 jiao,jue
膀 bang,pang
臂 bei,bi
般 ban,bo
莞 guan,wan
莨 lang,liang
華 hua
落 luo,la
葉 xie,ye
著 zhu,zhe
蒙 meng
蓋 gai,he
蓝 lan,la
蔓 man,wan
蔔 bo,bu
蕃 fan,bo
蕐 hua
薄 bo,bao
薓 shen,can
蚂 ma
螞 ma
行 xing,hang
衣 yi
裨 bi,pi
裼 ti,xi
褶 zhe,xi
角 jiao,jue
解 jie,xie
觧 jie,xie
誒 e
說 shuo,shui
説 shuo,shui
諷 feng
说 shuo,shui
诶 ei,e
豁 huo,hua
貉 he,hao
貟 yuan,yun
賈 jia,gu
贠 yuan,yun
趄 ju,qie
踋 jiao,jue
軋 ya,zha
転 zhuan,zhuai
軸 zhou,zhou
轉 zhuan,zhuai
轧 ya,zha
转 zhuan,zhuai
辟 pi,bi
還 huan,xuan
那 nei,na
酏 yi
酿 niang,nian
量 liang
鉈 she,tuo
銚 yao,diao
鐔 tan,chan
鑽 zuan
铊 tuo,she
铫 yao,diao
镡 chan,xin
閧 hong
閬 lang
闞 kan,han
闢 pi,bi
阚 kan,han
阿 a,e
陂 po,bei
雀 que,qiao
革 ge,ji
鞅 yang
食 shi,si
餬 hu
骨 gu
魄 po,tuo
鶻 gu,hu
麼 ma,me
齐 qi,ji
龜 gui,jun
龟 gui,jun
